age,income,city,bought
58,39592,Delhi,0
65,61048,Mumbai,1
32,43289,Delhi,0
61,122080,Hyderabad,1
23,102397,Chennai,0
20,28905,Delhi,0
31,55495,Hyderabad,0
56,28478,Hyderabad,0
30,118850,Hyderabad,1
44,53893,Chennai,0
55,61463,Delhi,1
28,116506,Chennai,1
39,61421,Mumbai,1
31,125072,Bangalore,1
24,37156,Chennai,0
24,72052,Bangalore,0
56,59671,Delhi,0
64,85217,Hyderabad,1
25,145887,Chennai,0
23,97357,Bangalore,0
58,106070,Bangalore,1
54,50203,Delhi,0
20,111673,Mumbai,0
36,35458,Mumbai,0
24,74823,Bangalore,0
47,108320,Bangalore,1
28,73520,Bangalore,1
31,112841,Bangalore,1
62,147769,Delhi,1
56,108227,Mumbai,1
52,120568,Mumbai,1
28,85589,Chennai,1
35,146292,Hyderabad,1
32,114733,Bangalore,1
21,55021,Delhi,0
38,77581,Bangalore,1
22,52653,Hyderabad,0
63,66245,Mumbai,1
59,90435,Chennai,1
59,85142,Mumbai,1
34,43301,Mumbai,0
65,98579,Hyderabad,1
34,122912,Hyderabad,1
45,142679,Hyderabad,1
43,72447,Mumbai,1
26,91784,Chennai,1
23,124061,Delhi,0
25,45033,Mumbai,0
61,80333,Hyderabad,1
22,75432,Chennai,0
56,86348,Hyderabad,1
34,97512,Delhi,1
61,119466,Delhi,1
61,140970,Hyderabad,1
35,125741,Bangalore,1
25,63469,Chennai,0
28,84470,Delhi,1
64,139799,Bangalore,1
50,124871,Mumbai,1
50,144619,Delhi,1
58,64117,Hyderabad,1
56,51071,Mumbai,0
41,124943,Mumbai,1
52,149977,Hyderabad,1
18,103504,Bangalore,0
49,27552,Delhi,0
41,140175,Bangalore,1
33,32592,Mumbai,0
54,149118,Delhi,1
23,120932,Chennai,0
22,124693,Hyderabad,0
26,41828,Chennai,0
53,46643,Bangalore,0
51,139351,Hyderabad,1
45,52760,Hyderabad,0
64,115422,Mumbai,1
63,65857,Chennai,1
60,110180,Bangalore,1
46,142914,Hyderabad,1
46,40860,Mumbai,0
32,33392,Bangalore,0
19,102110,Hyderabad,0
32,102128,Mumbai,1
18,34305,Delhi,0
32,33834,Delhi,0
39,34287,Hyderabad,0
33,61500,Chennai,1
31,95678,Mumbai,1
64,147619,Hyderabad,1
54,86953,Mumbai,1
48,130840,Chennai,1
30,37363,Delhi,0
60,81498,Bangalore,1
45,78883,Chennai,1
64,32100,Delhi,0
21,77772,Bangalore,0
24,57591,Mumbai,0
30,95292,Chennai,1
26,80296,Mumbai,1
35,85637,Mumbai,1
22,83082,Hyderabad,0
24,31630,Hyderabad,0
18,37224,Mumbai,0
28,78269,Chennai,1
48,53016,Chennai,0
21,46579,Chennai,0
18,76173,Bangalore,0
47,62388,Chennai,1
62,120748,Hyderabad,1
60,119163,Chennai,1
27,49890,Bangalore,0
31,32665,Hyderabad,0
65,96066,Delhi,1
65,66104,Delhi,1
21,101569,Chennai,0
50,145505,Hyderabad,1
28,32455,Hyderabad,0
23,136587,Mumbai,0
22,102992,Delhi,0
61,137960,Mumbai,1
43,40713,Hyderabad,0
33,100880,Hyderabad,1
20,106183,Delhi,0
44,111163,Hyderabad,1
54,93522,Bangalore,1
34,51772,Bangalore,0
33,59814,Chennai,0
26,113039,Bangalore,1
47,66441,Delhi,1
18,85068,Hyderabad,0
54,38104,Delhi,0
52,52938,Hyderabad,0
34,42361,Bangalore,0
22,140247,Mumbai,0
41,62353,Mumbai,1
46,134280,Hyderabad,1
63,64651,Hyderabad,1
59,94329,Delhi,1
60,132099,Hyderabad,1
37,147127,Delhi,1
26,59664,Delhi,0
24,122310,Hyderabad,0
27,60697,Bangalore,1
56,52607,Bangalore,0
31,115111,Bangalore,1
50,89032,Bangalore,1
21,37097,Chennai,0
35,30778,Delhi,0
39,126072,Mumbai,1
58,59335,Mumbai,0
65,82912,Hyderabad,1
63,81057,Hyderabad,1
18,39663,Delhi,0
62,143479,Mumbai,1
52,29722,Bangalore,0
55,97420,Mumbai,1
45,41704,Delhi,0
37,72795,Delhi,1
40,52535,Mumbai,0
60,38473,Bangalore,0
53,140885,Chennai,1
57,123235,Mumbai,1
33,138325,Mumbai,1
29,140528,Chennai,1
19,48509,Bangalore,0
44,130150,Mumbai,1
35,45866,Delhi,0
42,139316,Delhi,1
48,54154,Mumbai,0
47,70830,Bangalore,1
32,54219,Delhi,0
60,50313,Chennai,0
39,61517,Delhi,1
35,71025,Hyderabad,1
43,114065,Hyderabad,1
39,148107,Delhi,1
25,139955,Bangalore,0
29,101099,Bangalore,1
20,39208,Hyderabad,0
45,70309,Bangalore,1
45,104457,Hyderabad,1
25,75488,Hyderabad,0
30,58386,Delhi,0
63,82154,Delhi,1
51,146316,Hyderabad,1
61,119297,Mumbai,1
41,81531,Delhi,1
60,145687,Bangalore,1
57,66145,Delhi,1
64,142970,Bangalore,1
50,65538,Chennai,1
38,77743,Bangalore,1
53,41683,Mumbai,0
44,112153,Chennai,1
61,123059,Mumbai,1
57,99593,Bangalore,1
43,96819,Delhi,1
37,62606,Mumbai,1
45,127990,Hyderabad,1
56,110813,Bangalore,1
47,82905,Chennai,1
61,53010,Hyderabad,0
48,129036,Mumbai,1
60,36114,Bangalore,0
